instant,date,season,year,month,hour,holiday,weekday,day_type,weather,temperature,warming_sensation,humidity,windspeed,casual,registered,count,last_modified
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9.0,26,35,2023-03-22 23:15:29.759033
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6.0,31,37,2023-03-22 23:15:29.759033
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11.0,25,36,2023-03-22 23:15:29.759033
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3.0,31,34,2023-03-22 23:15:29.759033
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11.0,17,28,2023-03-22 23:15:29.759033
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15.0,24,39,2023-03-22 23:15:29.759033
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4.0,13,17,2023-03-22 23:15:29.759033
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1.0,16,17,2023-03-22 23:15:29.759033
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,4,6,2023-03-22 23:15:29.759033
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,1,3,2023-03-22 23:15:29.759033
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0.0,2,2,2023-03-22 23:15:29.759033
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0.0,1,1,2023-03-22 23:15:29.759033
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0.0,8,8,2023-03-22 23:15:29.759033
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1.0,19,20,2023-03-22 23:15:29.759033
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7.0,46,53,2023-03-22 23:15:29.759033
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16.0,54,70,2023-03-22 23:15:29.759033
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20.0,73,93,2023-03-22 23:15:29.759033
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11.0,64,75,2023-03-22 23:15:29.759033
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4.0,55,59,2023-03-22 23:15:29.759033
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19.0,55,74,2023-03-22 23:15:29.759033
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9.0,67,76,2023-03-22 23:15:29.759033
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7.0,58,65,2023-03-22 23:15:29.759033
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10.0,43,53,2023-03-22 23:15:29.759033
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1.0,29,30,2023-03-22 23:15:29.759033
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5.0,17,22,2023-03-22 23:15:29.759033
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11.0,20,31,2023-03-22 23:15:29.759033
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0.0,9,9,2023-03-22 23:15:29.759033
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0.0,8,8,2023-03-22 23:15:29.759033
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0.0,5,5,2023-03-22 23:15:29.759033
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0.0,2,2,2023-03-22 23:15:29.759033
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0.0,1,1,2023-03-22 23:15:29.759033
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0.0,3,3,2023-03-22 23:15:29.759033
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0.0,30,30,2023-03-22 23:15:29.759033
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1.0,63,64,2023-03-22 23:15:29.759033
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1.0,153,154,2023-03-22 23:15:29.759033
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7.0,81,88,2023-03-22 23:15:29.759033
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11.0,33,44,2023-03-22 23:15:29.759033
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10.0,41,51,2023-03-22 23:15:29.759033
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13.0,48,61,2023-03-22 23:15:29.759033
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8.0,53,61,2023-03-22 23:15:29.759033
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11.0,66,77,2023-03-22 23:15:29.759033
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14.0,58,72,2023-03-22 23:15:29.759033
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9.0,67,76,2023-03-22 23:15:29.759033
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11.0,146,157,2023-03-22 23:15:29.759033
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9.0,148,157,2023-03-22 23:15:29.759033
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8.0,102,110,2023-03-22 23:15:29.759033
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3.0,49,52,2023-03-22 23:15:29.759033
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3.0,49,52,2023-03-22 23:15:29.759033
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0.0,20,20,2023-03-22 23:15:29.759033
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1.0,11,12,2023-03-22 23:15:29.759033
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0.0,5,5,2023-03-22 23:15:29.759033
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0.0,2,2,2023-03-22 23:15:29.759033
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0.0,1,1,2023-03-22 23:15:29.759033
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0.0,2,2,2023-03-22 23:15:29.759033
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0.0,4,4,2023-03-22 23:15:29.759033
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0.0,36,36,2023-03-22 23:15:29.759033
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2.0,92,94,2023-03-22 23:15:29.759033
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2.0,177,179,2023-03-22 23:15:29.759033
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2.0,98,100,2023-03-22 23:15:29.759033
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5.0,37,42,2023-03-22 23:15:29.759033
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7.0,50,57,2023-03-22 23:15:29.759033
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12.0,66,78,2023-03-22 23:15:29.759033
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18.0,79,97,2023-03-22 23:15:29.759033
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9.0,54,63,2023-03-22 23:15:29.759033
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17.0,48,65,2023-03-22 23:15:29.759033
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15.0,68,83,2023-03-22 23:15:29.759033
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10.0,202,212,2023-03-22 23:15:29.759033
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3.0,179,182,2023-03-22 23:15:29.759033
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2.0,110,112,2023-03-22 23:15:29.759033
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1.0,53,54,2023-03-22 23:15:29.759033
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0.0,48,48,2023-03-22 23:15:29.759033
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1.0,34,35,2023-03-22 23:15:29.759033
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2.0,9,11,2023-03-22 23:15:29.759033
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0.0,6,6,2023-03-22 23:15:29.759033
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0.0,6,6,2023-03-22 23:15:29.759033
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0.0,2,2,2023-03-22 23:15:29.759033
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0.0,2,2,2023-03-22 23:15:29.759033
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0.0,3,3,2023-03-22 23:15:29.759033
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0.0,33,33,2023-03-22 23:15:29.759033
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1.0,87,88,2023-03-22 23:15:29.759033
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3.0,192,195,2023-03-22 23:15:29.759033
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6.0,109,115,2023-03-22 23:15:29.759033
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4.0,53,57,2023-03-22 23:15:29.759033
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12.0,34,46,2023-03-22 23:15:29.759033
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5.0,74,79,2023-03-22 23:15:29.759033
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6.0,65,71,2023-03-22 23:15:29.759033
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10.0,52,62,2023-03-22 23:15:29.759033
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7.0,55,62,2023-03-22 23:15:29.759033
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4.0,85,89,2023-03-22 23:15:29.759033
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4.0,186,190,2023-03-22 23:15:29.759033
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3.0,166,169,2023-03-22 23:15:29.759033
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5.0,127,132,2023-03-22 23:15:29.759033
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7.0,82,89,2023-03-22 23:15:29.759033
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3.0,40,43,2023-03-22 23:15:29.759033
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1.0,41,42,2023-03-22 23:15:29.759033
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1.0,18,19,2023-03-22 23:15:29.759033
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0.0,11,11,2023-03-22 23:15:29.759033
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0.0,4,4,2023-03-22 23:15:29.759033
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0.0,2,2,2023-03-22 23:15:29.759033
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0.0,1,1,2023-03-22 23:15:29.759033
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0.0,4,4,2023-03-22 23:15:29.759033
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0.0,36,36,2023-03-22 23:15:29.759033
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0.0,95,95,2023-03-22 23:15:29.759033
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3.0,216,219,2023-03-22 23:15:29.759033
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6.0,116,122,2023-03-22 23:15:29.759033
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3.0,42,45,2023-03-22 23:15:29.759033
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2.0,57,59,2023-03-22 23:15:29.759033
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6.0,78,84,2023-03-22 23:15:29.759033
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12.0,55,67,2023-03-22 23:15:29.759033
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11.0,59,70,2023-03-22 23:15:29.759033
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8.0,54,62,2023-03-22 23:15:29.759033
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12.0,74,86,2023-03-22 23:15:29.759033
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9.0,163,172,2023-03-22 23:15:29.759033
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5.0,158,163,2023-03-22 23:15:29.759033
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3.0,109,112,2023-03-22 23:15:29.759033
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3.0,66,69,2023-03-22 23:15:29.759033
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0.0,48,48,2023-03-22 23:15:29.759033
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1.0,51,52,2023-03-22 23:15:29.759033
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4.0,19,23,2023-03-22 23:15:29.759033
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4.0,13,17,2023-03-22 23:15:29.759033
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2.0,5,7,2023-03-22 23:15:29.759033
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0.0,1,1,2023-03-22 23:15:29.759033
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0.0,1,1,2023-03-22 23:15:29.759033
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0.0,5,5,2023-03-22 23:15:29.759033
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8.0,26,34,2023-03-22 23:15:29.759033
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8.0,76,84,2023-03-22 23:15:29.759033
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20.0,190,210,2023-03-22 23:15:29.759033
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9.0,125,134,2023-03-22 23:15:29.759033
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16.0,47,63,2023-03-22 23:15:29.759033
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19.0,48,67,2023-03-22 23:15:29.759033
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9.0,50,59,2023-03-22 23:15:29.759033
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9.0,64,73,2023-03-22 23:15:29.759033
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7.0,43,50,2023-03-22 23:15:29.759033
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9.0,63,72,2023-03-22 23:15:29.759033
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5.0,82,87,2023-03-22 23:15:29.759033
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9.0,178,187,2023-03-22 23:15:29.759033
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7.0,116,123,2023-03-22 23:15:29.759033
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3.0,92,95,2023-03-22 23:15:29.759033
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1.0,50,51,2023-03-22 23:15:29.759033
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0.0,39,39,2023-03-22 23:15:29.759033
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2.0,34,36,2023-03-22 23:15:29.759033
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1.0,14,15,2023-03-22 23:15:29.759033
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1.0,24,25,2023-03-22 23:15:29.759033
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1.0,15,16,2023-03-22 23:15:29.759033
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3.0,13,16,2023-03-22 23:15:29.759033
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0.0,7,7,2023-03-22 23:15:29.759033
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0.0,1,1,2023-03-22 23:15:29.759033
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0.0,5,5,2023-03-22 23:15:29.759033
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0.0,2,2,2023-03-22 23:15:29.759033
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1.0,8,9,2023-03-22 23:15:29.759033
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0.0,15,15,2023-03-22 23:15:29.759033
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0.0,20,20,2023-03-22 23:15:29.759033
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5.0,56,61,2023-03-22 23:15:29.759033
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8.0,90,98,2023-03-22 23:15:29.759033
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7.0,95,102,2023-03-22 23:15:29.759033
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12.0,83,95,2023-03-22 23:15:29.759033
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5.0,69,74,2023-03-22 23:15:29.759033
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8.0,68,76,2023-03-22 23:15:29.759033
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5.0,64,69,2023-03-22 23:15:29.759033
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3.0,52,55,2023-03-22 23:15:29.759033
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4.0,26,30,2023-03-22 23:15:29.759033
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0.0,28,28,2023-03-22 23:15:29.759033
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2.0,35,37,2023-03-22 23:15:29.759033
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1.0,33,34,2023-03-22 23:15:29.759033
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0.0,22,22,2023-03-22 23:15:29.759033
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1.0,24,25,2023-03-22 23:15:29.759033
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0.0,12,12,2023-03-22 23:15:29.759033
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0.0,11,11,2023-03-22 23:15:29.759033
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0.0,4,4,2023-03-22 23:15:29.759033
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0.0,1,1,2023-03-22 23:15:29.759033
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0.0,1,1,2023-03-22 23:15:29.759033
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0.0,1,1,2023-03-22 23:15:29.759033
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1.0,5,6,2023-03-22 23:15:29.759033
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0.0,10,10,2023-03-22 23:15:29.759033
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0.0,19,19,2023-03-22 23:15:29.759033
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0.0,49,49,2023-03-22 23:15:29.759033
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2.0,47,49,2023-03-22 23:15:29.759033
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4.0,79,83,2023-03-22 23:15:29.759033
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6.0,69,75,2023-03-22 23:15:29.759033
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8.0,64,72,2023-03-22 23:15:29.759033
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5.0,77,82,2023-03-22 23:15:29.759033
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13.0,79,92,2023-03-22 23:15:29.759033
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3.0,59,62,2023-03-22 23:15:29.759033
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4.0,44,48,2023-03-22 23:15:29.759033
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1.0,40,41,2023-03-22 23:15:29.759033
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0.0,38,38,2023-03-22 23:15:29.759033
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1.0,19,20,2023-03-22 23:15:29.759033
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5.0,10,15,2023-03-22 23:15:29.759033
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0.0,6,6,2023-03-22 23:15:29.759033
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2.0,3,5,2023-03-22 23:15:29.759033
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1.0,0,1,2023-03-22 23:15:29.759033
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0.0,3,3,2023-03-22 23:15:29.759033
