instant,date,season,year,month,hour,holiday,weekday,day_type,weather,temperature,warming_sensation,humidity,windspeed,casual,registered,count,last_modified
55,2011-01-03,spring,2011,Jan,9,0,Mon,Working_day,Clear,0.16,0.1364,0.43,0.3881,7.0,81,88,2023-03-26 04:01:44.335810
56,2011-01-03,spring,2011,Jan,10,0,Mon,Working_day,Clear,0.18,0.1667,0.43,0.2537,11.0,33,44,2023-03-26 04:01:44.335810
57,2011-01-03,spring,2011,Jan,11,0,Mon,Working_day,Clear,0.2,0.1818,0.4,0.3284,10.0,41,51,2023-03-26 04:01:44.335810
58,2011-01-03,spring,2011,Jan,12,0,Mon,Working_day,Clear,0.22,0.2121,0.35,0.2985,13.0,48,61,2023-03-26 04:01:44.335810
59,2011-01-03,spring,2011,Jan,13,0,Mon,Working_day,Clear,0.24,0.2121,0.35,0.2836,8.0,53,61,2023-03-26 04:01:44.335810
60,2011-01-03,spring,2011,Jan,14,0,Mon,Working_day,Clear,0.26,0.2424,0.3,0.2836,11.0,66,77,2023-03-26 04:01:44.335810
61,2011-01-03,spring,2011,Jan,15,0,Mon,Working_day,Clear,0.26,0.2424,0.3,0.2537,14.0,58,72,2023-03-26 04:01:44.335810
62,2011-01-03,spring,2011,Jan,16,0,Mon,Working_day,Clear,0.26,0.2424,0.3,0.2537,9.0,67,76,2023-03-26 04:01:44.335810
63,2011-01-03,spring,2011,Jan,17,0,Mon,Working_day,Clear,0.24,0.2273,0.3,0.2239,11.0,146,157,2023-03-26 04:01:44.335810
64,2011-01-03,spring,2011,Jan,18,0,Mon,Working_day,Clear,0.24,0.2576,0.32,0.1045,9.0,148,157,2023-03-26 04:01:44.335810
65,2011-01-03,spring,2011,Jan,19,0,Mon,Working_day,Clear,0.2,0.2576,0.47,0.0,8.0,102,110,2023-03-26 04:01:44.335810
66,2011-01-03,spring,2011,Jan,20,0,Mon,Working_day,Clear,0.2,0.2273,0.47,0.1045,3.0,49,52,2023-03-26 04:01:44.335810
67,2011-01-03,spring,2011,Jan,21,0,Mon,Working_day,Clear,0.18,0.197,0.64,0.1343,3.0,49,52,2023-03-26 04:01:44.335810
68,2011-01-03,spring,2011,Jan,22,0,Mon,Working_day,Clear,0.14,0.1515,0.69,0.1343,0.0,20,20,2023-03-26 04:01:44.335810
69,2011-01-03,spring,2011,Jan,23,0,Mon,Working_day,Clear,0.18,0.2121,0.55,0.1045,1.0,11,12,2023-03-26 04:01:44.335810
70,2011-01-04,spring,2011,Jan,0,0,Tue,Working_day,Clear,0.16,0.1818,0.55,0.1045,0.0,5,5,2023-03-26 04:01:44.335810
71,2011-01-04,spring,2011,Jan,1,0,Tue,Working_day,Clear,0.16,0.1818,0.59,0.1045,0.0,2,2,2023-03-26 04:01:44.335810
72,2011-01-04,spring,2011,Jan,2,0,Tue,Working_day,Clear,0.14,0.1515,0.63,0.1343,0.0,1,1,2023-03-26 04:01:44.335810
73,2011-01-04,spring,2011,Jan,4,0,Tue,Working_day,Clear,0.14,0.1818,0.63,0.0896,0.0,2,2,2023-03-26 04:01:44.335810
74,2011-01-04,spring,2011,Jan,5,0,Tue,Working_day,Clear,0.12,0.1515,0.68,0.1045,0.0,4,4,2023-03-26 04:01:44.335810
75,2011-01-04,spring,2011,Jan,6,0,Tue,Working_day,Clear,0.12,0.1515,0.74,0.1045,0.0,36,36,2023-03-26 04:01:44.335810
76,2011-01-04,spring,2011,Jan,7,0,Tue,Working_day,Clear,0.12,0.1515,0.74,0.1343,2.0,92,94,2023-03-26 04:01:44.335810
77,2011-01-04,spring,2011,Jan,8,0,Tue,Working_day,Clear,0.14,0.1515,0.69,0.1642,2.0,177,179,2023-03-26 04:01:44.335810
78,2011-01-04,spring,2011,Jan,9,0,Tue,Working_day,Clear,0.16,0.1515,0.64,0.2239,2.0,98,100,2023-03-26 04:01:44.335810
79,2011-01-04,spring,2011,Jan,10,0,Tue,Working_day,Mist,0.16,0.1364,0.69,0.3284,5.0,37,42,2023-03-26 04:01:44.335810
80,2011-01-04,spring,2011,Jan,11,0,Tue,Working_day,Clear,0.22,0.2121,0.51,0.2985,7.0,50,57,2023-03-26 04:01:44.335810
81,2011-01-04,spring,2011,Jan,12,0,Tue,Working_day,Clear,0.22,0.2273,0.51,0.1642,12.0,66,78,2023-03-26 04:01:44.335810
82,2011-01-04,spring,2011,Jan,13,0,Tue,Working_day,Clear,0.24,0.2273,0.56,0.194,18.0,79,97,2023-03-26 04:01:44.335810
83,2011-01-04,spring,2011,Jan,14,0,Tue,Working_day,Clear,0.26,0.2576,0.52,0.2239,9.0,54,63,2023-03-26 04:01:44.335810
84,2011-01-04,spring,2011,Jan,15,0,Tue,Working_day,Clear,0.28,0.2727,0.52,0.2537,17.0,48,65,2023-03-26 04:01:44.335810
85,2011-01-04,spring,2011,Jan,16,0,Tue,Working_day,Clear,0.3,0.2879,0.49,0.2537,15.0,68,83,2023-03-26 04:01:44.335810
86,2011-01-04,spring,2011,Jan,17,0,Tue,Working_day,Clear,0.28,0.2727,0.48,0.2239,10.0,202,212,2023-03-26 04:01:44.335810
87,2011-01-04,spring,2011,Jan,18,0,Tue,Working_day,Clear,0.26,0.2576,0.48,0.194,3.0,179,182,2023-03-26 04:01:44.335810
88,2011-01-04,spring,2011,Jan,19,0,Tue,Working_day,Clear,0.24,0.2576,0.48,0.1045,2.0,110,112,2023-03-26 04:01:44.335810
89,2011-01-04,spring,2011,Jan,20,0,Tue,Working_day,Clear,0.24,0.2576,0.48,0.1045,1.0,53,54,2023-03-26 04:01:44.335810
90,2011-01-04,spring,2011,Jan,21,0,Tue,Working_day,Clear,0.22,0.2727,0.64,0.0,0.0,48,48,2023-03-26 04:01:44.335810
91,2011-01-04,spring,2011,Jan,22,0,Tue,Working_day,Clear,0.22,0.2576,0.64,0.0896,1.0,34,35,2023-03-26 04:01:44.335810
92,2011-01-04,spring,2011,Jan,23,0,Tue,Working_day,Clear,0.2,0.2273,0.69,0.0896,2.0,9,11,2023-03-26 04:01:44.335810
93,2011-01-05,spring,2011,Jan,0,0,Wed,Working_day,Clear,0.2,0.2576,0.64,0.0,0.0,6,6,2023-03-26 04:01:44.335810
94,2011-01-05,spring,2011,Jan,1,0,Wed,Working_day,Clear,0.16,0.197,0.74,0.0896,0.0,6,6,2023-03-26 04:01:44.335810
95,2011-01-05,spring,2011,Jan,2,0,Wed,Working_day,Clear,0.16,0.197,0.74,0.0896,0.0,2,2,2023-03-26 04:01:44.335810
96,2011-01-05,spring,2011,Jan,4,0,Wed,Working_day,Clear,0.24,0.2273,0.48,0.2239,0.0,2,2,2023-03-26 04:01:44.335810
97,2011-01-05,spring,2011,Jan,5,0,Wed,Working_day,Clear,0.22,0.2273,0.47,0.1642,0.0,3,3,2023-03-26 04:01:44.335810
98,2011-01-05,spring,2011,Jan,6,0,Wed,Working_day,Clear,0.2,0.197,0.47,0.2239,0.0,33,33,2023-03-26 04:01:44.335810
99,2011-01-05,spring,2011,Jan,7,0,Wed,Working_day,Clear,0.18,0.1818,0.43,0.194,1.0,87,88,2023-03-26 04:01:44.335810
100,2011-01-05,spring,2011,Jan,8,0,Wed,Working_day,Clear,0.2,0.1818,0.4,0.2985,3.0,192,195,2023-03-26 04:01:44.335810
101,2011-01-05,spring,2011,Jan,9,0,Wed,Working_day,Clear,0.22,0.197,0.37,0.3284,6.0,109,115,2023-03-26 04:01:44.335810
102,2011-01-05,spring,2011,Jan,10,0,Wed,Working_day,Clear,0.22,0.197,0.37,0.3284,4.0,53,57,2023-03-26 04:01:44.335810
103,2011-01-05,spring,2011,Jan,11,0,Wed,Working_day,Clear,0.26,0.2273,0.33,0.3284,12.0,34,46,2023-03-26 04:01:44.335810
104,2011-01-05,spring,2011,Jan,12,0,Wed,Working_day,Clear,0.26,0.2273,0.33,0.3284,5.0,74,79,2023-03-26 04:01:44.335810
105,2011-01-05,spring,2011,Jan,13,0,Wed,Working_day,Clear,0.28,0.2576,0.3,0.2985,6.0,65,71,2023-03-26 04:01:44.335810
106,2011-01-05,spring,2011,Jan,14,0,Wed,Working_day,Clear,0.3,0.2879,0.28,0.194,10.0,52,62,2023-03-26 04:01:44.335810
107,2011-01-05,spring,2011,Jan,15,0,Wed,Working_day,Clear,0.3,0.2879,0.28,0.194,7.0,55,62,2023-03-26 04:01:44.335810
108,2011-01-05,spring,2011,Jan,16,0,Wed,Working_day,Clear,0.3,0.3182,0.28,0.0896,4.0,85,89,2023-03-26 04:01:44.335810
109,2011-01-05,spring,2011,Jan,17,0,Wed,Working_day,Clear,0.24,0.2273,0.38,0.194,4.0,186,190,2023-03-26 04:01:44.335810
110,2011-01-05,spring,2011,Jan,18,0,Wed,Working_day,Clear,0.24,0.2424,0.38,0.1343,3.0,166,169,2023-03-26 04:01:44.335810
111,2011-01-05,spring,2011,Jan,19,0,Wed,Working_day,Clear,0.24,0.2576,0.38,0.1045,5.0,127,132,2023-03-26 04:01:44.335810
112,2011-01-05,spring,2011,Jan,20,0,Wed,Working_day,Clear,0.22,0.2273,0.47,0.1642,7.0,82,89,2023-03-26 04:01:44.335810
113,2011-01-05,spring,2011,Jan,21,0,Wed,Working_day,Clear,0.2,0.197,0.51,0.194,3.0,40,43,2023-03-26 04:01:44.335810
114,2011-01-05,spring,2011,Jan,22,0,Wed,Working_day,Clear,0.18,0.197,0.55,0.1343,1.0,41,42,2023-03-26 04:01:44.335810
115,2011-01-05,spring,2011,Jan,23,0,Wed,Working_day,Clear,0.2,0.2576,0.47,0.0,1.0,18,19,2023-03-26 04:01:44.335810
116,2011-01-06,spring,2011,Jan,0,0,Thu,Working_day,Clear,0.18,0.2424,0.55,0.0,0.0,11,11,2023-03-26 04:01:44.335810
117,2011-01-06,spring,2011,Jan,1,0,Thu,Working_day,Clear,0.16,0.2273,0.64,0.0,0.0,4,4,2023-03-26 04:01:44.335810
118,2011-01-06,spring,2011,Jan,2,0,Thu,Working_day,Clear,0.16,0.2273,0.64,0.0,0.0,2,2,2023-03-26 04:01:44.335810
119,2011-01-06,spring,2011,Jan,4,0,Thu,Working_day,Mist,0.16,0.197,0.64,0.0896,0.0,1,1,2023-03-26 04:01:44.335810
120,2011-01-06,spring,2011,Jan,5,0,Thu,Working_day,Mist,0.14,0.1818,0.69,0.0896,0.0,4,4,2023-03-26 04:01:44.335810
121,2011-01-06,spring,2011,Jan,6,0,Thu,Working_day,Mist,0.14,0.1667,0.63,0.1045,0.0,36,36,2023-03-26 04:01:44.335810
122,2011-01-06,spring,2011,Jan,7,0,Thu,Working_day,Mist,0.16,0.2273,0.59,0.0,0.0,95,95,2023-03-26 04:01:44.335810
123,2011-01-06,spring,2011,Jan,8,0,Thu,Working_day,Clear,0.16,0.2273,0.59,0.0,3.0,216,219,2023-03-26 04:01:44.335810
124,2011-01-06,spring,2011,Jan,9,0,Thu,Working_day,Mist,0.18,0.2424,0.51,0.0,6.0,116,122,2023-03-26 04:01:44.335810
125,2011-01-06,spring,2011,Jan,10,0,Thu,Working_day,Clear,0.2,0.2576,0.47,0.0,3.0,42,45,2023-03-26 04:01:44.335810
126,2011-01-06,spring,2011,Jan,11,0,Thu,Working_day,Clear,0.22,0.2576,0.44,0.0896,2.0,57,59,2023-03-26 04:01:44.335810
127,2011-01-06,spring,2011,Jan,12,0,Thu,Working_day,Clear,0.26,0.2879,0.35,0.0,6.0,78,84,2023-03-26 04:01:44.335810
128,2011-01-06,spring,2011,Jan,13,0,Thu,Working_day,Clear,0.26,0.2727,0.35,0.1045,12.0,55,67,2023-03-26 04:01:44.335810
129,2011-01-06,spring,2011,Jan,14,0,Thu,Working_day,Clear,0.28,0.2727,0.36,0.1642,11.0,59,70,2023-03-26 04:01:44.335810
130,2011-01-06,spring,2011,Jan,15,0,Thu,Working_day,Clear,0.28,0.2727,0.36,0.0,8.0,54,62,2023-03-26 04:01:44.335810
131,2011-01-06,spring,2011,Jan,16,0,Thu,Working_day,Clear,0.26,0.2576,0.38,0.1642,12.0,74,86,2023-03-26 04:01:44.335810
132,2011-01-06,spring,2011,Jan,17,0,Thu,Working_day,Clear,0.22,0.2273,0.51,0.1642,9.0,163,172,2023-03-26 04:01:44.335810
133,2011-01-06,spring,2011,Jan,18,0,Thu,Working_day,Clear,0.22,0.2273,0.51,0.1343,5.0,158,163,2023-03-26 04:01:44.335810
134,2011-01-06,spring,2011,Jan,19,0,Thu,Working_day,Clear,0.22,0.2576,0.55,0.0896,3.0,109,112,2023-03-26 04:01:44.335810
135,2011-01-06,spring,2011,Jan,20,0,Thu,Working_day,Clear,0.2,0.2121,0.51,0.1642,3.0,66,69,2023-03-26 04:01:44.335810
136,2011-01-06,spring,2011,Jan,21,0,Thu,Working_day,Mist,0.22,0.2121,0.55,0.2239,0.0,48,48,2023-03-26 04:01:44.335810
137,2011-01-06,spring,2011,Jan,22,0,Thu,Working_day,Mist,0.22,0.2121,0.51,0.2836,1.0,51,52,2023-03-26 04:01:44.335810
138,2011-01-06,spring,2011,Jan,23,0,Thu,Working_day,Mist,0.2,0.197,0.59,0.194,4.0,19,23,2023-03-26 04:01:44.335810
139,2011-01-07,spring,2011,Jan,0,0,Fri,Working_day,Mist,0.2,0.197,0.64,0.194,4.0,13,17,2023-03-26 04:01:44.335810
140,2011-01-07,spring,2011,Jan,1,0,Fri,Working_day,Mist,0.2,0.197,0.69,0.2239,2.0,5,7,2023-03-26 04:01:44.335810
141,2011-01-07,spring,2011,Jan,2,0,Fri,Working_day,Mist,0.2,0.197,0.69,0.2239,0.0,1,1,2023-03-26 04:01:44.335810
142,2011-01-07,spring,2011,Jan,4,0,Fri,Working_day,Mist,0.2,0.2121,0.69,0.1343,0.0,1,1,2023-03-26 04:01:44.335810
143,2011-01-07,spring,2011,Jan,5,0,Fri,Working_day,Light Snow,0.22,0.2727,0.55,0.0,0.0,5,5,2023-03-26 04:01:44.335810
144,2011-01-07,spring,2011,Jan,6,0,Fri,Working_day,Mist,0.2,0.2576,0.69,0.0,8.0,26,34,2023-03-26 04:01:44.335810
145,2011-01-07,spring,2011,Jan,7,0,Fri,Working_day,Clear,0.2,0.2121,0.69,0.1343,8.0,76,84,2023-03-26 04:01:44.335810
146,2011-01-07,spring,2011,Jan,8,0,Fri,Working_day,Clear,0.2,0.197,0.51,0.2537,20.0,190,210,2023-03-26 04:01:44.335810
147,2011-01-07,spring,2011,Jan,9,0,Fri,Working_day,Clear,0.2,0.1818,0.47,0.2985,9.0,125,134,2023-03-26 04:01:44.335810
148,2011-01-07,spring,2011,Jan,10,0,Fri,Working_day,Clear,0.22,0.197,0.37,0.3284,16.0,47,63,2023-03-26 04:01:44.335810
149,2011-01-07,spring,2011,Jan,11,0,Fri,Working_day,Mist,0.2,0.197,0.4,0.2239,19.0,48,67,2023-03-26 04:01:44.335810
150,2011-01-07,spring,2011,Jan,12,0,Fri,Working_day,Mist,0.2,0.197,0.37,0.2537,9.0,50,59,2023-03-26 04:01:44.335810
151,2011-01-07,spring,2011,Jan,13,0,Fri,Working_day,Mist,0.2,0.1818,0.37,0.2836,9.0,64,73,2023-03-26 04:01:44.335810
152,2011-01-07,spring,2011,Jan,14,0,Fri,Working_day,Mist,0.2,0.197,0.4,0.2537,7.0,43,50,2023-03-26 04:01:44.335810
153,2011-01-07,spring,2011,Jan,15,0,Fri,Working_day,Mist,0.2,0.2121,0.37,0.1642,9.0,63,72,2023-03-26 04:01:44.335810
154,2011-01-07,spring,2011,Jan,16,0,Fri,Working_day,Mist,0.2,0.2121,0.37,0.1642,5.0,82,87,2023-03-26 04:01:44.335810
155,2011-01-07,spring,2011,Jan,17,0,Fri,Working_day,Mist,0.2,0.2576,0.37,0.0,9.0,178,187,2023-03-26 04:01:44.335810
156,2011-01-07,spring,2011,Jan,18,0,Fri,Working_day,Clear,0.2,0.2273,0.4,0.0896,7.0,116,123,2023-03-26 04:01:44.335810
157,2011-01-07,spring,2011,Jan,19,0,Fri,Working_day,Clear,0.16,0.197,0.55,0.0896,3.0,92,95,2023-03-26 04:01:44.335810
158,2011-01-07,spring,2011,Jan,20,0,Fri,Working_day,Clear,0.18,0.2121,0.47,0.1045,1.0,50,51,2023-03-26 04:01:44.335810
159,2011-01-07,spring,2011,Jan,21,0,Fri,Working_day,Clear,0.18,0.197,0.47,0.1343,0.0,39,39,2023-03-26 04:01:44.335810
160,2011-01-07,spring,2011,Jan,22,0,Fri,Working_day,Mist,0.18,0.197,0.43,0.1642,2.0,34,36,2023-03-26 04:01:44.335810
161,2011-01-07,spring,2011,Jan,23,0,Fri,Working_day,Mist,0.18,0.197,0.51,0.1642,1.0,14,15,2023-03-26 04:01:44.335810
162,2011-01-08,spring,2011,Jan,0,0,Sat,Holyday,Mist,0.18,0.197,0.51,0.1642,1.0,24,25,2023-03-26 04:01:44.335810
163,2011-01-08,spring,2011,Jan,1,0,Sat,Holyday,Mist,0.18,0.2121,0.55,0.0896,1.0,15,16,2023-03-26 04:01:44.335810
164,2011-01-08,spring,2011,Jan,2,0,Sat,Holyday,Mist,0.18,0.2424,0.55,0.0,3.0,13,16,2023-03-26 04:01:44.335810
165,2011-01-08,spring,2011,Jan,3,0,Sat,Holyday,Light Snow,0.18,0.197,0.55,0.1642,0.0,7,7,2023-03-26 04:01:44.335810
166,2011-01-08,spring,2011,Jan,4,0,Sat,Holyday,Light Snow,0.18,0.197,0.55,0.1642,0.0,1,1,2023-03-26 04:01:44.335810
167,2011-01-08,spring,2011,Jan,5,0,Sat,Holyday,Mist,0.16,0.1667,0.74,0.1642,0.0,5,5,2023-03-26 04:01:44.335810
168,2011-01-08,spring,2011,Jan,6,0,Sat,Holyday,Mist,0.16,0.1667,0.74,0.1642,0.0,2,2,2023-03-26 04:01:44.335810
169,2011-01-08,spring,2011,Jan,7,0,Sat,Holyday,Mist,0.16,0.1818,0.74,0.1045,1.0,8,9,2023-03-26 04:01:44.335810
170,2011-01-08,spring,2011,Jan,8,0,Sat,Holyday,Light Snow,0.16,0.1818,0.93,0.1045,0.0,15,15,2023-03-26 04:01:44.335810
171,2011-01-08,spring,2011,Jan,9,0,Sat,Holyday,Light Snow,0.16,0.1818,0.93,0.1045,0.0,20,20,2023-03-26 04:01:44.335810
172,2011-01-08,spring,2011,Jan,10,0,Sat,Holyday,Mist,0.18,0.197,0.8,0.1642,5.0,56,61,2023-03-26 04:01:44.335810
174,2011-01-08,spring,2011,Jan,12,0,Sat,Holyday,Mist,0.2,0.1818,0.59,0.3582,8.0,90,98,2023-03-26 04:01:44.335810
175,2011-01-08,spring,2011,Jan,13,0,Sat,Holyday,Clear,0.2,0.1818,0.44,0.3284,7.0,95,102,2023-03-26 04:01:44.335810
176,2011-01-08,spring,2011,Jan,14,0,Sat,Holyday,Clear,0.2,0.1667,0.32,0.4925,12.0,83,95,2023-03-26 04:01:44.335810
177,2011-01-08,spring,2011,Jan,15,0,Sat,Holyday,Clear,0.2,0.1667,0.32,0.4478,5.0,69,74,2023-03-26 04:01:44.335810
178,2011-01-08,spring,2011,Jan,16,0,Sat,Holyday,Clear,0.18,0.1364,0.29,0.4478,8.0,68,76,2023-03-26 04:01:44.335810
179,2011-01-08,spring,2011,Jan,17,0,Sat,Holyday,Clear,0.16,0.1212,0.37,0.5522,5.0,64,69,2023-03-26 04:01:44.335810
180,2011-01-08,spring,2011,Jan,18,0,Sat,Holyday,Clear,0.14,0.1212,0.39,0.2985,3.0,52,55,2023-03-26 04:01:44.335810
181,2011-01-08,spring,2011,Jan,19,0,Sat,Holyday,Clear,0.14,0.1212,0.36,0.2537,4.0,26,30,2023-03-26 04:01:44.335810
182,2011-01-08,spring,2011,Jan,20,0,Sat,Holyday,Clear,0.12,0.1212,0.36,0.2537,0.0,28,28,2023-03-26 04:01:44.335810
